symbol,industry,year,roic,roe,roa,equity,invested_capital,total_assets,nopat,equity_billion,invested_capital_billion,total_assets_billion,nopat_billion,roic_pct,roe_pct,roa_pct
ABT,Thực phẩm và đồ uống,2015,0.127,0.169,0.1178,407492081623.0,542263138775,584655976826.0,68885003749.0,407.49,542.26,584.66,68.89,12.7,16.9,11.78
ABT,Thực phẩm và đồ uống,2016,0.0761,0.1147,0.0734,415706533927.0,626357895297,649276469260.0,47670539891.0,415.71,626.36,649.28,47.67,7.61,11.47,7.34
ABT,Thực phẩm và đồ uống,2017,0.046,0.0698,0.0445,404122206324.0,612929028844,634346217726.0,28224983257.0,404.12,612.93,634.35,28.22,4.6,6.98,4.45
ABT,Thực phẩm và đồ uống,2018,0.1334,0.159,0.1246,419677992812.0,500032949306,535545315630.0,66728981488.0,419.68,500.03,535.55,66.73,13.34,15.9,12.46
ABT,Thực phẩm và đồ uống,2019,0.0983,0.1179,0.0904,413141657575.0,495574448311,538461616877.0,48695389251.0,413.14,495.57,538.46,48.7,9.83,11.79,9.04
ABT,Thực phẩm và đồ uống,2020,0.0287,0.0353,0.0267,410683399132.0,504954905857,543675163240.0,14490867601.0,410.68,504.95,543.68,14.49,2.87,3.53,2.67
ABT,Thực phẩm và đồ uống,2021,0.0609,0.0786,0.0569,430092950926.0,554582135741,594273999072.0,33793208794.0,430.09,554.58,594.27,33.79,6.09,7.86,5.69
ABT,Thực phẩm và đồ uống,2022,0.1149,0.1365,0.1033,470891464340.0,559322123952,622539909687.0,64289101233.0,470.89,559.32,622.54,64.29,11.49,13.65,10.33
ABT,Thực phẩm và đồ uống,2023,0.1081,0.1301,0.0981,490819412613.0,590700801043,651384406231.0,63871593981.0,490.82,590.7,651.38,63.87,10.81,13.01,9.81
ABT,Thực phẩm và đồ uống,2024,0.1463,0.1804,0.1311,562594771986.0,693730017446,773847842386.0,101488892957.0,562.59,693.73,773.85,101.49,14.63,18.04,13.11
ACB,Ngân hàng,2015,0.0923,0.118,0.0051,8711240000000.0,11144570000000,201456985000000.0,1028232000000.0,8711.24,11144.57,201456.98,1028.23,9.23,11.8,0.51
ACB,Ngân hàng,2016,0.1211,0.1521,0.0057,8711240000000.0,10946355000000,233680877000000.0,1325174000000.0,8711.24,10946.36,233680.88,1325.17,12.11,15.21,0.57
ACB,Ngân hàng,2017,0.0845,0.2205,0.0074,9607514000000.0,25061260000000,284316123000000.0,2118131000000.0,9607.51,25061.26,284316.12,2118.13,8.45,22.05,0.74
ACB,Ngân hàng,2018,0.156,0.4204,0.0156,12220152000000.0,32938534000000,329333241000000.0,5137052000000.0,12220.15,32938.53,329333.24,5137.05,15.6,42.04,1.56
ACB,Ngân hàng,2019,0.1667,0.3578,0.0157,16799171000000.0,36047743000000,383514439000000.0,6009937000000.0,16799.17,36047.74,383514.44,6009.94,16.67,35.78,1.57
ACB,Ngân hàng,2020,0.1679,0.351,0.0173,21887364000000.0,45762606000000,444530104000000.0,7682823000000.0,21887.36,45762.61,444530.1,7682.82,16.79,35.1,1.73
ACB,Ngân hàng,2021,0.1176,0.3519,0.0182,27291260000000.0,81685199000000,527769944000000.0,9602746000000.0,27291.26,81685.2,527769.94,9602.75,11.76,35.19,1.82
ACB,Ngân hàng,2022,0.1343,0.402,0.0225,34046130000000.0,101886970000000,607875185000000.0,13688193000000.0,34046.13,101886.97,607875.19,13688.19,13.43,40.2,2.25
ACB,Ngân hàng,2023,0.1247,0.4102,0.0223,39112283000000.0,128618945000000,718794589000000.0,16044733000000.0,39112.28,128618.94,718794.59,16044.73,12.47,41.02,2.23
ACB,Ngân hàng,2024,0.1073,0.3736,0.0194,44938358000000.0,156530026000000,864005703000000.0,16789768000000.0,44938.36,156530.03,864005.7,16789.77,10.73,37.36,1.94
ACC,Xây dựng và Vật liệu,2015,0.1648,0.1749,0.1179,230871896242.0,245059093982,342567797425.0,40374563379.0,230.87,245.06,342.57,40.37,16.48,17.49,11.79
ACC,Xây dựng và Vật liệu,2016,0.1907,0.2054,0.1412,221324026528.0,238388695552,322039408163.0,45470580147.0,221.32,238.39,322.04,45.47,19.07,20.54,14.12
ACC,Xây dựng và Vật liệu,2017,0.1061,0.1181,0.0793,223570753174.0,248896935329,332878814018.0,26403430478.0,223.57,248.9,332.88,26.4,10.61,11.81,7.93
ACC,Xây dựng và Vật liệu,2018,0.1374,0.1434,0.0907,231978573373.0,242219221595,367048564435.0,33274982048.0,231.98,242.22,367.05,33.27,13.74,14.34,9.07
ACC,Xây dựng và Vật liệu,2019,0.1357,0.182,0.0918,252041877710.0,337849714813,499548597907.0,45862526564.0,252.04,337.85,499.55,45.86,13.57,18.2,9.18
ACC,Xây dựng và Vật liệu,2020,0.0875,0.1297,0.0626,506567161938.0,751376351714,1049885213304.0,65714233910.0,506.57,751.38,1049.89,65.71,8.75,12.97,6.26
ACC,Xây dựng và Vật liệu,2021,0.0368,0.081,0.0327,475085989877.0,1046654328145,1175563025601.0,38497402252.0,475.09,1046.65,1175.56,38.5,3.68,8.1,3.27
ACC,Xây dựng và Vật liệu,2022,0.0441,0.0671,0.0389,1216128356897.0,1851665913654,2099774620511.0,81593658179.0,1216.13,1851.67,2099.77,81.59,4.41,6.71,3.89
ACC,Xây dựng và Vật liệu,2023,0.0341,0.0546,0.0298,1285040813541.0,2054922383887,2352042742360.0,70154709497.0,1285.04,2054.92,2352.04,70.15,3.41,5.46,2.98
ACC,Xây dựng và Vật liệu,2024,0.0256,0.0393,0.0176,1336516247251.0,2053158699184,2987376803268.0,52511515029.0,1336.52,2053.16,2987.38,52.51,2.56,3.93,1.76
ACE,Xây dựng và Vật liệu,2015,0.2217,0.2785,0.1395,67034385531.0,84200571751,133766329511.0,18666680364.0,67.03,84.2,133.77,18.67,22.17,27.85,13.95
ACE,Xây dựng và Vật liệu,2016,0.2584,0.2968,0.1578,70255463296.0,80686634056,132109263186.0,20852976076.0,70.26,80.69,132.11,20.85,25.84,29.68,15.78
ACE,Xây dựng và Vật liệu,2017,0.2105,0.2105,0.1254,71305088486.0,71305088486,119753520448.0,15011312190.0,71.31,71.31,119.75,15.01,21.05,21.05,12.54
ACE,Xây dựng và Vật liệu,2018,0.1261,0.1854,0.0858,69209871278.0,101785412298,149640085005.0,12832516292.0,69.21,101.79,149.64,12.83,12.61,18.54,8.58
ACE,Xây dựng và Vật liệu,2019,0.1415,0.2191,0.0949,69895605788.0,108224250753,161298865053.0,15311476810.0,69.9,108.22,161.3,15.31,14.15,21.91,9.49
ACE,Xây dựng và Vật liệu,2020,0.1715,0.2631,0.0951,72473213696.0,111169960418,200510274930.0,19070726476.0,72.47,111.17,200.51,19.07,17.15,26.31,9.51
ACE,Xây dựng và Vật liệu,2021,0.1708,0.2635,0.1057,72969255175.0,112583361263,181932983366.0,19224555979.0,72.97,112.58,181.93,19.22,17.08,26.35,10.57
ACE,Xây dựng và Vật liệu,2022,0.1327,0.2413,0.0986,71494678213.0,129998829882,175058817104.0,17253937538.0,71.49,130.0,175.06,17.25,13.27,24.13,9.86
ACE,Xây dựng và Vật liệu,2023,0.1307,0.2085,0.0888,71337332381.0,113796055475,167468103992.0,14870387668.0,71.34,113.8,167.47,14.87,13.07,20.85,8.88
ACE,Xây dựng và Vật liệu,2024,0.1221,0.2133,0.0826,71576759939.0,125059576622,184920274155.0,15267161058.0,71.58,125.06,184.92,15.27,12.21,21.33,8.26
ACL,Thực phẩm và đồ uống,2015,0.0258,0.097,0.0241,300321319243.0,1130579094820,1209724617670.0,29132663973.0,300.32,1130.58,1209.72,29.13,2.58,9.7,2.41
ACL,Thực phẩm và đồ uống,2016,0.0208,0.0667,0.0198,352384217550.0,1132517137942,1185062703460.0,23502703307.0,352.38,1132.52,1185.06,23.5,2.08,6.67,1.98
ACL,Thực phẩm và đồ uống,2017,0.0207,0.0577,0.0196,373962580207.0,1041066295920,1099634179516.0,21578362657.0,373.96,1041.07,1099.63,21.58,2.07,5.77,1.96
ACL,Thực phẩm và đồ uống,2018,0.1948,0.4123,0.1715,558763455914.0,1182820639976,1343377979470.0,230400225707.0,558.76,1182.82,1343.38,230.4,19.48,41.23,17.15
ACL,Thực phẩm và đồ uống,2019,0.1062,0.2119,0.0964,668871506956.0,1334909085059,1469552356540.0,141712527957.0,668.87,1334.91,1469.55,141.71,10.62,21.19,9.64
ACL,Thực phẩm và đồ uống,2020,0.0182,0.0413,0.0173,694980366241.0,1579451954671,1660133904438.0,28703894870.0,694.98,1579.45,1660.13,28.7,1.82,4.13,1.73
ACL,Thực phẩm và đồ uống,2021,0.0323,0.0596,0.0289,706452640437.0,1302435223995,1458179314834.0,42088175559.0,706.45,1302.44,1458.18,42.09,3.23,5.96,2.89
ACL,Thực phẩm và đồ uống,2022,0.0881,0.1431,0.0796,824400470522.0,1338249702147,1481370067070.0,117947830085.0,824.4,1338.25,1481.37,117.95,8.81,14.31,7.96
ACL,Thực phẩm và đồ uống,2023,0.0061,0.0123,0.0056,799141900684.0,1602132964132,1749180174427.0,9852743462.0,799.14,1602.13,1749.18,9.85,0.61,1.23,0.56
ACL,Thực phẩm và đồ uống,2024,0.007,0.0133,0.0065,809907143865.0,1546657169628,1663984592012.0,10765243181.0,809.91,1546.66,1663.98,10.77,0.7,1.33,0.65
ACM,Tài nguyên Cơ bản,2015,0.0719,0.0828,0.0704,557242173219.0,641233125215,654926943973.0,46122029623.0,557.24,641.23,654.93,46.12,7.19,8.28,7.04
ACM,Tài nguyên Cơ bản,2016,0.014,0.0161,0.0127,538976374363.0,617483375390,682528145312.0,8661675148.0,538.98,617.48,682.53,8.66,1.4,1.61,1.27
ACM,Tài nguyên Cơ bản,2017,-0.0463,-0.0534,-0.0424,511786006331.0,590293007358,644479201433.0,-27335502032.0,511.79,590.29,644.48,-27.34,-4.63,-5.34,-4.24
ACM,Tài nguyên Cơ bản,2018,-0.1633,-0.1931,-0.1455,428944501235.0,507451502262,569366916159.0,-82841505096.0,428.94,507.45,569.37,-82.84,-16.33,-19.31,-14.55
ACM,Tài nguyên Cơ bản,2019,0.0002,0.0003,0.0002,429148607116.0,507655608143,580340648269.0,119867986.0,429.15,507.66,580.34,0.12,0.02,0.03,0.02
ACM,Tài nguyên Cơ bản,2020,-0.1217,-0.1473,-0.103,374104239348.0,452611240375,534811295608.0,-55088246661.0,374.1,452.61,534.81,-55.09,-12.17,-14.73,-10.3
ACM,Tài nguyên Cơ bản,2021,-0.0292,-0.0355,-0.0241,362496489300.0,441003490327,533824888800.0,-12864133470.0,362.5,441.0,533.82,-12.86,-2.92,-3.55,-2.41
ACM,Tài nguyên Cơ bản,2022,-0.0222,-0.0271,-0.0179,352915617295.0,431422618322,534699966339.0,-9580872005.0,352.92,431.42,534.7,-9.58,-2.22,-2.71,-1.79
