symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,industry
BQB,0.1262,0.0132,0.005,-0.0283,-0.1475,-0.1715,-0.2419,-0.3308,-0.1733,0.0008,Thực phẩm và đồ uống
BRC,0.0549,0.0898,0.0669,0.0732,0.0901,0.0881,0.0842,0.0695,0.0777,0.0859,Hóa chất
BRR,0.0095,0.0242,0.0652,0.0598,0.0553,0.075,0.1099,0.1081,0.0949,0.0882,Hóa chất
BRS,0.1168,0.1512,0.202,0.2103,0.2195,0.2336,0.2228,0.2268,0.2303,0.2363,Hàng & Dịch vụ Công nghiệp
BSA,0.0079,0.0407,0.1109,0.0507,0.068,0.0444,0.064,0.1039,0.0738,0.0567,"Điện, nước & xăng dầu khí đốt"
BSC,0.0488,0.0458,0.0241,0.0173,0.0086,0.0236,0.003,0.0493,0.0688,0.0532,Bất động sản
BSD,0.1313,0.0852,0.1522,0.0784,0.1066,0.0958,0.1338,0.0542,0.032,0.0702,Thực phẩm và đồ uống
BSG,0.0892,0.0032,0.0049,-0.0472,-0.0887,-0.1327,-0.1799,0.0444,0.1023,0.1193,Du lịch và Giải trí
BSI,0.068,0.0933,0.1179,0.1298,0.0597,0.0635,0.0843,0.0212,0.0545,0.0416,Dịch vụ tài chính
BSL,0.0884,0.0586,0.0681,0.046,0.1076,0.0612,0.0706,0.0831,0.0641,0.0794,Thực phẩm và đồ uống
BSP,0.1164,0.1562,0.1782,0.1342,0.17,0.0342,0.0788,0.0028,0.019,0.0258,Thực phẩm và đồ uống
BSQ,0.0833,0.0905,0.1347,0.1314,0.2051,0.1193,0.1506,0.1331,0.094,0.0975,Thực phẩm và đồ uống
BSR,0.1197,0.0904,0.1577,0.0054,0.0714,-0.0646,0.1383,0.2439,0.1259,0.0083,Dầu khí
BST,0.1156,0.1098,0.1026,0.0963,0.0949,0.106,0.1034,0.1357,0.1435,0.1055,Truyền thông
BT1,0.0422,0.055,0.0536,0.0483,0.0525,0.072,0.0393,0.0161,0.0075,0.0378,Hóa chất
BTB,0.0192,0.0243,0.0186,0.0093,0.0105,0.0034,-0.0042,0.0182,0.0062,0.0002,Thực phẩm và đồ uống
BTD,0.1653,0.1801,0.1627,0.1024,0.1004,0.1337,0.0967,0.0342,0.036,0.0356,Xây dựng và Vật liệu
BTG,0.0273,0.0133,0.026,0.0116,-0.1029,0.0072,-0.0725,0.0011,0.0132,-0.0607,Hàng & Dịch vụ Công nghiệp
BTH,0.0283,-0.0144,-0.0205,0.0088,0.0183,0.0315,0.0509,0.0038,0.0003,0.6539,Hàng & Dịch vụ Công nghiệp
BTN,0.1606,0.2046,0.1043,0.0427,0.0018,-0.0704,-0.1144,-0.113,-0.1481,-0.2407,Xây dựng và Vật liệu
