Quarter,BSR,CNG,GAS,PGC,PGD,PGS,PLX,POS,POW,PTV,PVB,PVC,PVD,PVG,PVS
Q4.2022,-44.16505150207699,1.8457890936158923,65.48915433574783,13.65752388411832,116.27943155991352,-67.15617746675028,96.32992888447899,17.459498829317706,1190.616265692117,199.9063808347256,-159.37826058019692,96.388671753279,8.710273127686737,135.88333461944873,514.6710516734014
Q1.2023,-29.898978797821453,-36.446119405129174,-2.287267876396456,-6.818004286826214,27.2256952838114,-2.5750809697018013,154.65741571366019,14.264516067810415,-25.97077061736116,-216.60556620632025,-271.26917050271635,353.05418655587005,217.19616965496513,21.08839271622263,-0.6650191032930495
Q2.2023,-86.78608033536777,-62.62898417476877,-37.96140132875944,-3.1639209612163004,-10.444841422602408,-26.709697800618166,3107.391859320841,28.834330672665544,-70.13450946899759,119.22934519696582,277.55321099589423,-99.26706117320114,374.15996153299403,-77.27147202907271,3218.2510226069076
Q3.2023,581.2025467267766,65.28637876616938,-21.525803088557094,-41.38443541845925,-77.18764110685294,34.77655220407226,646.0347551657051,446.60341696052325,23.641104983030655,-187.40147733996605,-16.925518064131182,1252.6928793791603,546.3303030560379,-80.05957712265112,-26.638374320023395
Q4.2023,52.084742238342905,1.884585916064142,-16.215822602733667,-33.63726660384603,-55.59968901980439,149.65509898393228,-45.11774778472993,-7.5249410975468916,-51.3860437307963,-265.5739615227513,188.39296385682067,-104.74158216265693,262.0599785323248,-182.97186285864404,-44.842899266896346
Q1.2024,-29.7925459913313,-94.16909081185386,-25.03090701125148,-5.101916334363254,-66.9986147659628,-13.824543558415717,73.15092950128536,365.08523632216117,-48.00897606387648,-403.582831592895,386.65936579979194,-99.36542005075898,139.854930551741,-71.86754036342126,39.97453318791397
Q2.2024,-41.72175814358411,221.39387013029244,5.236007213730639,19.626701342390607,85.61271696789859,25.241421307197758,48.28420624044321,51.68418994010906,211.08760716450342,-460.55411462018776,176.2549515535657,5871.958490417191,-15.495106420166332,43.10272655860456,-12.701802015341968
Q3.2024,-137.117936368018,-7.61536483529814,6.083993582756728,69.1663485539296,323.89562258593617,30.664282222533927,-91.07598251408201,-24.891016256904894,379.50307483223673,45.089610317262355,-134.92841948965224,-111.63838466658346,20.71711890651723,515.7004849611346,-4.357030791001986
Q4.2024,-103.68952451269868,-51.39656356661453,-24.932447104721973,-13.587280310889104,-103.22903073771663,-3.7456692795762603,-14.93995738397427,64.91896881721782,-86.21188839874499,300.0940734823044,-152.82692135899444,791.5490052562014,12.543698194677914,221.9672917139306,53.215647630227394
Q1.2025,-65.14142582891287,0.2864620705082268,9.749538059301825,-5.972939610690125,-99.96341078458137,2.5953158335192614,-87.56588664992847,-40.83294002469919,60.31583519437858,7.297801415916587,-80.39144282761804,5168.844109199177,-3.199861708648836,181.2091803859435,10.260699492189813
Q2.2025,8.200942662824607,-16.680339113721576,42.96498133458604,-7.548845232599997,-45.01239691697172,4.987982125855144,13.330443409635334,-15.320076866788543,53.77084173054342,56.69274720567591,225.22572463261776,214.44344683442944,73.38709702205776,155.1004936437789,83.40465216005816
Q3.2025,174.99338885501314,-4.236621639785939,1.0835315897476108,-7.219156449355675,-23.98278541617558,2.6350333382148685,827.068248224773,54.984407525776824,104.18828605438028,-241.624667119183,502.66095890979636,703.0019444774532,53.081723688434245,-45.287913812057745,140.301883398667
